Weatherid,DateRange,Country,City,Location,Coordinates,Temperature,Humidity,Pressure,WeatherDescription
1,7052025,Brazil,Brasilia,QualityHotels,-63.7094,294.67,74%,1011,ClearSky
1,7052025,Brazil,Brasilia,QualityHotels,-63.7094,294.67,74%,1011,ClearSky
1,7052025,Brazil,Brasilia,QualityHotels,-63.7094,294.67,74%,1011,ClearSky
1,7052025,Brazil,Brasilia,QualityHotels,-63.7094,294.67,74%,1011,ClearSky
1,0.000691358024691358,England,London,BuckinghamPalace,51.3828,286.16,61%,1021,BrokenClouds
1,7052025,England,London,BuckinghamPalace,51.3828,286.16,61%,1021,BrokenClouds
2,8052025,Turkey,Instanbul,BasilicaCistern,70.0184,295.5,44%,1011,ClearSky
3,8052025,Italy,Zocca,ChestnutMuseum,55.3377,286.13,80%,1012,OvercastClouds
4,9052025,Spain,Valencia,Oceanogràfic,38.5000,290.60,60%,1012,LightRain
5,9052025,Norway,Oslo,HotelBristol,70.6588,289.01,44%,1021,OvercastClouds
6,9052025,Germany,Munich,MarienPlatz,59.7129,283.66,73%,1014,Lightrain
7,10052025,NewZealand,Auckland,CafeHanoi,137.9000,291.81,95%,1023,BrokenClouds
8,10052025,Belgium,Brussels,GrandPlace,55.1992,289.16,50%,1017,FewClouds
9,11052025,Thailand,Bangkok,SiamParagon,114.2667,314.65,61%,1004,ModerateRain
10,11052025,China,Beijing,SummerPalace,247.3047,297.09,47%,1005,OvercastClouds
11,12052025,Ghana,Accra,OsuCastle,5.3591,303.89,63%,1012,BrokenClouds
12,12052025,Algeria,Algiers,MaqamEchahid,39.7945,291.94,46%,1011,BrokenClouds
13,12052025,SouthAfrica,Pretoria,UnionBuildingss,2.4429,297.83,38%,1018,ClearSky
14,12052025,Kenya,Nairobi,TanaRiver,35.5334,297.08,50%,1013,LightRain
15,13052025,UAE,Dubai,DubaiMall,58.7634,305.11,43%,1004,ClearSky
16,13052025,Lebanon,Beirut,ZaitunayBay,67.3833,301.69,71%,1006,BrokenClouds
